rownames;state;year;cpi;pop;packpc;income;tax;avgprs;taxs
97;AL;1987;1.1360000371933;4016000;115.836654663086;51846312;32.5000038146973;113.527328491211;33.4606704711914
98;AR;1987;1.1360000371933;2343000;125.309432983398;28540168;37;117.025001525879;37
99;AZ;1987;1.1360000371933;3438000;100.34903717041;52003120;31;119.175003051758;36.6749992370605
100;CA;1987;1.1360000371933;27781000;92.4660720825195;517348384;26;118.481498718262;32.7065010070801
101;CO;1987;1.1360000371933;3261000;102.698554992676;53527656;36;112.916664123535;36
102;CT;1987;1.1360000371933;3248000;106.61946105957;71098736;42;136.925994873047;52.1426658630371
103;DE;1987;1.1360000371933;637000;137.519622802734;11422540;30;116.008338928223;30
104;FL;1987;1.1360000371933;11999000;119.226600646973;196939232;40;132.78125;46.3229179382324
105;GA;1987;1.1360000371933;6209000;124.786598205566;92007472;28;107.941581726074;28.9499168395996
106;IA;1987;1.1360000371933;2767000;107.55330657959;41224700;42;126.091323852539;46.849666595459
145;AL;1988;1.18300008773804;4024000;115.258445739746;55698852;32.5000038146973;120.033424377441;33.5250854492187
146;AR;1988;1.18300008773804;2343000;125.522834777832;30492638;37;129.427993774414;41.9780006408691
147;AZ;1988;1.18300008773804;3536000;99.4626693725586;55836700;31;126.586250305176;37.0279159545898
148;CA;1988;1.18300008773804;28468000;88.3834533691406;561121088;26;130.009002685547;33.359001159668
149;CO;1988;1.18300008773804;3263000;97.0272750854492;56387208;36;124.633331298828;36
150;CT;1988;1.18300008773804;3272000;103.850852966309;78551080;42;147.824996948242;52.9500007629395
151;DE;1988;1.18300008773804;648000;135.956787109375;12506597;30;122.04167175293;30
152;FL;1988;1.18300008773804;12308000;118.061424255371;216504528;40;142.721252441406;46.7962493896484
153;GA;1988;1.18300008773804;6317000;123.682121276855;100276824;28;117.949005126953;29.048999786377
154;IA;1988;1.18300008773804;2769000;103.539184570312;42399264;44.6666641235352;139.767349243164;50.0423316955566
193;AL;1989;1.24000000953674;4030000;109.205955505371;60044480;32.5000038146973;133.256011962891;33.6560020446777
194;AR;1989;1.24000000953674;2346000;122.80477142334;32409780;37;140.998001098633;42.4230003356934
195;AZ;1989;1.24000000953674;3622000;94.9199371337891;60010740;31;134.697494506836;37.4141654968262
196;CA;1989;1.24000000953674;29218000;80.5154342651367;606701248;38.5;154.901336669922;47.2680015563965
197;CO;1989;1.24000000953674;3276000;91.3003692626953;60759576;36;141.591674804687;36
198;CT;1989;1.24000000953674;3283000;100.030456542969;84702664;45.5;166.716003417969;57.8493347167969
199;DE;1989;1.24000000953674;658000;130.851058959961;13777657;30;133.333343505859;30
200;FL;1989;1.24000000953674;12638000;112.604843139648;240686672;40;154.556854248047;48.7485008239746
201;GA;1989;1.24000000953674;6411000;117.625953674316;107725352;28;129.33674621582;29.161750793457
202;IA;1989;1.24000000953674;2771000;97.0046920776367;45887504;50;155.454010009766;55.9790000915527
241;AL;1990;1.30699992179871;4048508;111.744873046875;64094948;32.5000038146973;143.448577880859;33.7569198608398
242;AR;1990;1.30699992179871;2354343;117.017784118652;34159184;37;150.063323974609;42.7716674804687
243;AZ;1990;1.30699992179871;3679056;85.81005859375;63319164;31;147.857498168945;38.0408325195312
244;CA;1990;1.30699992179871;29950112;74.2000579833984;655567168;51;187.849670410156;61.632999420166
245;CO;1990;1.30699992179871;3303862;89.1381072998047;65094512;36;147.199996948242;36
246;CT;1990;1.30699992179871;3289056;90.8163299560547;87935184;56;183.825012207031;69.6166687011719
247;DE;1990;1.30699992179871;669063;124.353012084961;14475729;30;138.949996948242;30
248;FL;1990;1.30699992179871;13018365;105.742919921875;258479056;40;168.257339477539;49.5240020751953
249;GA;1990;1.30699992179871;6506531;112.640670776367;115414192;28;136.979080200195;29.2374172210693
250;IA;1990;1.30699992179871;2779769;97.6699829101563;48312552;47;159.102676391602;53.1193351745605
289;AL;1991;1.36199998855591;4091025;107.014747619629;67649568;34.5000038146973;161.721160888672;35.9378356933594
290;AR;1991;1.36199998855591;2370666;116.254249572754;36164020;39;170.092010498047;45.5419998168945
291;AZ;1991;1.36199998855591;3762394;80.7464599609375;66077264;35.25;166.591247558594;43.1829147338867
292;CA;1991;1.36199998855591;30414114;68.5306854248047;669842240;53;206.991500854492;64.7164993286133
293;CO;1991;1.36199998855591;3367567;88.9069137573242;68992136;38;152.25;38
294;CT;1991;1.36199998855591;3288640;87.02685546875;88344096;58;194.669998168945;72.4199981689453
295;DE;1991;1.36199998855591;680495;117.414527893066;15203588;39.0833358764648;160.408325195313;39.0833358764648
296;FL;1991;1.36199998855591;13289497;97.6259689331055;268304176;51.9000015258789;192.47834777832;62.7950019836426
297;GA;1991;1.36199998855591;6621279;109.07258605957;121094216;30;151.674575805664;31.3829174041748
298;IA;1991;1.36199998855591;2791227;96.3375625610352;49848588;49.4166641235352;172.683334350586;56.0583305358887
337;AL;1992;1.40299999713898;4139269;106.902931213379;72281824;36.5000038146973;176.113662719727;38.0803375244141
338;AR;1992;1.40299999713898;2394098;124.096839904785;39322416;42;187.75749206543;50.9408340454102
339;AZ;1992;1.40299999713898;3867333;76.3575286865234;70119912;38;184.948745727539;46.8070831298828
340;CA;1992;1.40299999713898;30875920;66.3818283081055;701571584;55;218.030334472656;69.2636642456055
341;CO;1992;1.40299999713898;3459995;84.7400054931641;74206960;40;163.741668701172;40
342;CT;1992;1.40299999713898;3274997;84.2443542480469;93778704;63.75;209.226333618164;75.5930023193359
343;DE;1992;1.40299999713898;690158;116.929748535156;15938837;44;182.399993896484;44
344;FL;1992;1.40299999713898;13504775;93.9001159667969;279028352;53.9000015258789;202.362823486328;65.3544998168945
345;GA;1992;1.40299999713898;6759474;106.398811340332;130683560;32;165.511581420898;33.5199165344238
346;IA;1992;1.40299999713898;2806923;93.9106597900391;53161048;56;192.434661865234;63.4013328552246
385;AL;1993;1.44500005245209;4193114;104.957794189453;75439176;38.5000038146973;164.734329223633;39.9676704406738
386;AR;1993;1.44500005245209;2423743;110.737815856934;41190456;49.2083358764648;180.967498779297;57.8258361816406
387;AZ;1993;1.44500005245209;3993390;75.2493515014648;74900032;40;179.261260986328;48.5362510681152
388;CA;1993;1.44500005245209;31147208;61.7519264221191;714107328;57;209.862670898437;70.7293319702148
389;CO;1993;1.44500005245209;3560884;82.6480178833008;80212048;42;159.116668701172;42
390;CT;1993;1.44500005245209;3272325;79.7903594970703;96866464;67;214.88850402832;79.1634979248047
391;DE;1993;1.44500005245209;699475;119.089317321777;16663330;46;166.916656494141;46
392;FL;1993;1.44500005245209;13713593;93.2797088623047;296927424;55.9000015258789;191.303512573242;66.7285003662109
393;GA;1993;1.44500005245209;6894092;104.350219726563;138770624;34;156.985504150391;35.4355010986328
394;IA;1993;1.44500005245209;2820525;90.8341598510742;53390872;58;187.626251220703;66.9345855712891
433;AL;1994;1.48199999332428;4232965;103.426322937012;79832152;40.5000038146973;156.275573730469;41.883918762207
434;AR;1994;1.48199999332428;2540605;101.629341125488;43498008;55.5;176.014999389648;63.8816680908203
435;AZ;1994;1.48199999332428;4147561;72.8620986938477;82014176;42;170.69499206543;50.1283340454102
436;CA;1994;1.48199999332428;31317180;57.8660011291504;735104448;60;206.438674926758;73.5053329467773
437;CO;1994;1.48199999332428;3653910;82.1311950683594;85859736;44;159.616668701172;44
438;CT;1994;1.48199999332428;3268346;77.6233596801758;99787808;71;215.957336425781;83.2239990234375
439;DE;1994;1.48199999332428;708416;121.679916381836;17377776;48;157.283325195313;48
440;FL;1994;1.48199999332428;13961798;90.4682922363281;311908864;57.9000015258789;182.947174072266;68.255500793457
441;GA;1994;1.48199999332428;7045900;102.669639587402;149165088;36;152.693008422852;37.3930015563965
442;IA;1994;1.48199999332428;2829422;91.6795043945313;57998884;60;184.625;68.7916641235352
481;AL;1995;1.5239999294281;4262731;101.085433959961;83903280;40.5000038146973;158.371337890625;41.904670715332
482;AR;1995;1.5239999294281;2480121;111.04296875;45995496;55.5;175.542510986328;63.8591690063477
483;AZ;1995;1.5239999294281;4306908;71.9541702270508;88870496;65.3333282470703;198.607498168945;74.7908248901367
484;CA;1995;1.5239999294281;31493524;56.8593063354492;771470144;61;210.504669189453;74.7713317871094
485;CO;1995;1.5239999294281;3738061;82.5829238891602;92946544;44;167.350006103516;44
486;CT;1995;1.5239999294281;3265293;79.4721908569336;104315120;74;218.280502319336;86.3554992675781
487;DE;1995;1.5239999294281;718265;124.466598510742;18237436;48;165.600006103516;48
488;FL;1995;1.5239999294281;14185403;93.0745544433594;333525344;57.9000015258789;187.717178344727;68.525505065918
489;GA;1995;1.5239999294281;7188538;97.4746246337891;159800448;36;156.57307434082;37.4314155578613
490;IA;1995;1.5239999294281;2840860;92.4015960693359;60170928;60;190.889999389648;69.0899963378906
